Provinsi,Jumlah Penduduk (Ribu),Laju Pertumbuhan Penduduk per Tahun,Persentase Penduduk,Kepadatan Penduduk per km persegi (Km2),Rasio Jenis Kelamin Penduduk
Aceh,5626,1.37,1.98,99,100.9
Sumatera Utara,15785.8,1.37,5.55,218,100.8
Sumatera Barat,5914.3,1.41,2.08,140,101.5
Riau,6811.2,1.34,2.39,76,104.3
Jambi,3768.5,1.28,1.32,77,103.2
Sumatera Selatan,8928.5,1.12,3.14,103,103.6
Bengkulu,2138,1.3,0.75,106,104.2
Lampung,9522.9,1.18,3.35,284,104.1
Kepulauan Bangka Belitung,1550.8,1.34,0.55,93,105.2
Kepulauan Riau,2213.5,1.48,0.78,268,103.1
DKI Jakarta,10678,0.23,3.75,16155,100.8
Jawa Barat,50759,1.06,17.85,1370,102.4
Jawa Tengah,38233.9,0.97,13.44,1113,100.9
DI Yogyakarta,3781.5,0.64,1.33,1193,97.8
Jawa Timur,42089.3,0.73,14.8,876,99.4
Banten,12537.4,1.1,4.41,1341,103.3
Bali,4461.3,0.69,1.57,798,100.4
Nusa Tenggara Barat,5731.1,1.58,2.01,291,100.9
Nusa Tenggara Timur,5742.6,1.6,2.02,124,100
Kalimantan Barat,5766,1.33,2.03,39,105.3
Kalimantan Tengah,2845,1.35,1,19,106.5
Kalimantan Selatan,4323.3,1.26,1.52,116,102.2
Kalimantan Timur,4267.6,2.67,1.5,34,106.8
Kalimantan Utara,749.4,1.39,0.26,11,110.4
Sulawesi Utara,2721.4,0.79,0.96,188,104.1
Sulawesi Tengah,3156.1,1.18,1.11,51,105.1
Sulawesi Selatan,9563.1,1.11,3.36,211,98.8
Sulawesi Tenggara,2836.7,1.65,1,78,102.6
Gorontalo,1242.2,1.24,0.44,103,101.6
Sulawesi Barat,1525.3,1.53,0.54,92,102.7
Maluku,1970.6,1.35,0.69,43,102.2
Maluku Utara,1373.8,1.45,0.48,42,105.1
Papua Barat,587.6,1.68,0.21,10,110.5
Papua Barat Daya,636.4,1.57,0.22,16,108.5
Papua,1073.6,1.34,0.38,13,109.4
Papua Selatan,549.7,1.44,0.19,5,107.7
Papua Tengah,1492.3,1.49,0.52,24,113.5
Papua Pegunungan,1484.9,1.39,0.52,29,114
Indonesia,284438.8,1.09,100,150,101.9
,,,,,
Keterangan,,,,,
1Hasil Proyeksi Penduduk Indonesia 2020-2050 Hasil Sensus Penduduk 2020 (Pertengahan tahun/Juni)/ Indonesia Population Projection 2020-2050 Result of Population Census 2020 (mid year/June) ,,,,,
2Laju pertumbuhan penduduk dihitung berdasarkan penduduk tahun 2020 (September) dibandingkan dengan penduduk tahun 2025(Juni)/ The growth rate refers to the change of the population in 2020 (September) to the population in 2025 (June)  ,,,,,
"3Luas provinsi berdasarkan Keputusan Menteri Dalam Negeri Nomor 100.1.1-6117 Tahun 2022 tanggal 9 November 2022/ Province area Based on Ministerial Decree of Home Affairs Number 100.1.1-6117,9 November 2022 ",,,,,
4 Laju pertumbuhan penduduk dihitung dengan menggunakan data dasar jumlah penduduk tahun 2020 yang merupakan penjumlahan dari kabupaten/kota pembentuk/ The Growth Rate calculated refers to total population 2020 is the sum of the forming regency/municipality ,,,,,
