No,Provinsi,Skor_Pilar_Infrastruktur_Ekosistem,Skor_Pilar_Literasi_Digital_Keterampilan_Digital,Skor_IMDI_Provinsi
1,Aceh,49.60,47.69,42.64
2,Bali,63.98,50.97,48.22
3,Banten,63.17,48.16,48.01
4,Bengkulu,52.91,42.24,40.65
5,DI Yogyakarta,69.73,52.93,51.13
6,DKI Jakarta,75.34,53.73,56.97
7,Gorontalo,53.23,45.87,42.96
8,Jambi,55.16,51.10,46.78
9,Jawa Barat,66.91,52.37,52.05
10,Jawa Tengah,65.73,53.75,51.19
11,Jawa Timur,67.22,49.87,49.17
12,Kalimantan Barat,54.09,48.49,46.22
13,Kalimantan Selatan,59.25,49.45,47.71
14,Kalimantan Tengah,52.41,54.55,47.31
15,Kalimantan Timur,56.32,50.80,47.17
16,Kalimantan Utara,55.60,54.72,48.91
17,Kepulauan Bangka Belitung,63.09,54.81,52.15
18,Kepulauan Riau,57.97,55.45,50.77
19,Lampung,57.42,53.29,50.36
20,Maluku,42.63,52.71,39.24
21,Maluku Utara,42.48,46.35,37.43
22,Nusa Tenggara Barat,56.83,47.59,44.87
23,Nusa Tenggara Timur,51.21,54.88,44.54
24,Papua,35.86,43.23,37.26
25,Papua Barat,36.57,46.18,33.90
26,Papua Barat Daya,42.06,48.39,40.34
27,Papua Pegunungan,28.12,36.72,31.11
28,Papua Selatan,35.53,43.13,31.62
29,Papua Tengah,30.14,44.13,36.02
30,Riau,57.47,45.45,44.65
31,Sulawesi Barat,49.78,51.72,43.52
32,Sulawesi Selatan,54.60,51.42,44.41
33,Sulawesi Tengah,48.65,53.03,44.01
34,Sulawesi Tenggara,48.19,44.15,38.41
35,Sulawesi Utara,51.56,50.04,42.73
36,Sumatera Barat,58.00,54.15,49.70
37,Sumatera Selatan,54.26,44.39,45.01
38,Sumatera Utara,53.23,44.69,42.87
