Provinsi,Indeks Inklusi Keuangan (%)
DKI Jakarta,99.74
DI Yogyakarta,98.74
Kep. Riau,98.43
Aceh,96.43
Kalimantan Timur,96.31
Bali,96.24
Jawa Barat,95.76
Jawa Tengah,95.59
Gorontalo,95.52
Sumatera Barat,95.37
Kalimantan Selatan,94.88
Sulawesi Tenggara,94.70
Sulawesi Utara,94.37
Sulawesi Selatan,94.27
Kalimantan Utara,94.10
Kep. Bangka Belitung,93.99
Bengkulu,93.88
INDONESIA,93.61
Nusa Tenggara Barat,93.40
Kalimantan Tengah,93.23
Papua Barat Daya,93.20
Riau,92.79
Nusa Tenggara Timur,92.78
Sulawesi Barat,92.77
Kalimantan Barat,92.72
Sumatera Utara,92.01
Jambi,92.00
Jawa Timur,91.88
Papua,91.69
Banten,91.07
Lampung,90.94
Sulawesi Tengah,88.65
Sumatera Selatan,88.18
Maluku,87.59
Papua Barat,86.75
Papua Selatan,81.93
Maluku Utara,77.18
Papua Tengah,72.21
Papua Pegunungan,71.38
