Provinsi,Indeks Literasi Keuangan (%)
DKI Jakarta,84.01
Kalimantan Selatan,79.69
Bali,78.77
Kep. Riau,78.29
Kep. Bangka Belitung,78.10
Sumatera Barat,76.65
DI Yogyakarta,76.44
Kalimantan Timur,73.12
Kalimantan Tengah,73.06
Jawa Tengah,72.83
Sulawesi Tenggara,72.38
Bengkulu,72.36
Lampung,72.29
Jambi,72.24
Jawa Timur,72.07
Sumatera Utara,71.57
Kalimantan Barat,70.01
Sulawesi Utara,69.98
INDONESIA,69.57
Riau,68.93
Sumatera Selatan,68.00
Nusa Tenggara Timur,67.71
Jawa Barat,67.14
Aceh,66.33
Gorontalo,65.29
Kalimantan Utara,65.25
Nusa Tenggara Barat,64.60
Maluku,63.87
Papua,62.84
Sulawesi Selatan,61.03
Sulawesi Tengah,60.07
Sulawesi Barat,58.60
Banten,58.46
Papua Barat Daya,56.16
Maluku Utara,48.65
Papua Barat,41.60
Papua Selatan,36.97
Papua Tengah,34.63
Papua Pegunungan,17.55
