Provinsi,Jumlah Merchant QRIS (Ribuan)
Jawa Barat,9797
Daerah Khusus Ibukota Jakarta,5636
Jawa Timur,5515
Jawa Tengah,4548
Banten,2729
Sumatera Utara,1732
Sulawesi Selatan,1393
Sumatera Selatan,1156
Bali,1108
Daerah Istimewa Yogyakarta,1094
Riau,954
Lampung,857
Kalimantan Timur,835
Sumatera Barat,728
Kalimantan Selatan,628
Kalimantan Barat,503
Jambi,471
Kepulauan Riau,461
Nusa Tenggara Barat,444
Kalimantan Tengah,418
Nusa Tenggara Timur,373
Sulawesi Utara,327
Sulawesi Tengah,314
Aceh,277
Sulawesi Tenggara,252
Bengkulu,245
Kepulauan Bangka Belitung,201
Papua,176
Gorontalo,146
Maluku Utara,132
Kalimantan Utara,116
Maluku,112
Sulawesi Barat,111
Papua Barat Daya,60
Papua Barat,59
Papua Tengah,49
Papua Selatan,32
Papua Pegunungan,15
