Provinsi,Outstanding_Pinjaman_Miliar_Rp,TWP90_Persen,Jumlah_Rekening_Penerima_Pinjaman_Aktif
Banten,7197.1,2.43,1843509
DKI Jakarta,15622.55,11.58,2822388
Jawa Barat,23938.83,3.29,7152695
Jawa Tengah,8017.09,2.81,2725309
DI Yogyakarta,1363.58,2.85,403289
Jawa Timur,11423.26,5.02,3176585
Nangroe Aceh Darussalam,190.06,0.9,91587
Sumatera Utara,3564.25,1.7,1067071
Sumatera Barat,1570.17,1.88,408031
Riau,1819.7,1.63,563927
Kepulauan Riau,1238.56,1.62,329320
Kepulauan Bangka Belitung,399.63,1.57,108455
Jambi,954.56,1.85,269124
Sumatera Selatan,2037.02,3.08,599604
Bengkulu,547.97,1.83,145321
Lampung,1552.96,2.38,529069
Kalimantan Barat,984.97,1.48,273039
Kalimantan Tengah,569.12,1.4,165942
Kalimantan Utara,166.99,4.45,40325
Kalimantan Timur,1576.94,1.63,470731
Kalimantan Selatan,1112.23,2.08,346290
Sulawesi Utara,1166.77,2.67,264850
Gorontalo,505.55,1.77,110464
Sulawesi Tengah,725.44,1.71,188760
Sulawesi Barat,264.26,1.1,58295
Sulawesi Selatan,2394.11,1.67,625413
Sulawesi Tenggara,804.6,1.48,142596
Bali,2104.23,2.13,452439
Nusa Tenggara Barat,923.01,3.39,243756
Nusa Tenggara Timur,874.63,1.53,231930
Maluku Utara,312.09,1.25,59441
Maluku,278.05,0.66,65375
Papua Barat,100.62,1.21,31355
Papua,224.33,2.46,66471
Papua Tengah,36.02,1.01,11057
Papua Pegunungan,6.74,0.83,2642
Papua Selatan,19.11,0.72,6268
Papua Barat Daya,30.33,0.9,11442
