Provinsi,Pakaian_AlasKaki_TutupKepala_Perkotaan,Pakaian_AlasKaki_TutupKepala_Perdesaan,Pakaian_AlasKaki_TutupKepala_PerkotaanPerdesaan,Barang_Tahan_Lama_Perkotaan,Barang_Tahan_Lama_Perdesaan,Barang_Tahan_Lama_PerkotaanPerdesaan,Bukan_Makanan_Perkotaan,Bukan_Makanan_Perdesaan,Bukan_Makanan_PerkotaanPerdesaan
Aceh,64588,49252,54771,93390,33287,54917,788738,453713,574283
Sumatera Utara,47771,37459,43456,52812,27033,42024,746035,482518,635758
Sumatera Barat,64193,49784,57318,76279,64977,70886,865802,576766,727890
Riau,60975,47531,52960,64150,48152,54612,955234,632965,763107
Jambi,63067,46506,52069,113681,58770,77216,906273,635504,726462
Sumatera Selatan,39975,25436,30993,71072,36067,49446,854862,421820,587333
Bengkulu,63265,35657,45023,145896,62733,90946,1086371,575938,749101
Lampung,41040,32668,35588,52582,54165,53613,699313,488516,562043
Kepulauan Bangka Belitung,49015,43470,46760,76776,51297,66413,935831,731434,852700
Kepulauan Riau,72203,44896,69893,235853,35768,218927,1513660,668607,1442176
DKI Jakarta,64459,,64459,117845,,117845,1739497,,1739497
Jawa Barat,44847,35876,43142,65045,36695,59657,908132,519846,834335
Jawa Tengah,33723,28247,31223,92106,58883,76941,768746,531928,660650
DI Yogyakarta,46842,26826,42071,101099,67700,93138,1223242,645684,1085573
Jawa Timur,34933,28619,32268,71635,56764,65359,787509,527132,677619
Banten,46377,30017,43620,55389,76868,59008,945236,518023,873250
Bali,37210,24253,33851,109627,64728,97985,1317939,782975,1179225
Nusa Tenggara Barat,39092,33854,36653,127620,68913,100283,737326,548293,649303
Nusa Tenggara Timur,32585,17978,21982,40338,19591,25279,773974,386860,492990
Kalimantan Barat,52951,25169,36000,59308,62990,61555,910614,572542,704344
Kalimantan Tengah,35093,28449,31429,74263,68643,71164,879885,678192,768655
Kalimantan Selatan,42171,37908,40086,166490,78560,123484,974113,657347,819184
Kalimantan Timur,53039,38983,48794,141050,153706,144872,1305622,1006181,1215194
Kalimantan Utara,36008,33491,35135,42625,40471,41878,950894,826335,907696
Sulawesi Utara,44373,41742,43234,84561,56980,72618,769780,564783,681013
Sulawesi Tengah,40821,29447,33334,53537,49696,51009,861295,540300,650012
Sulawesi Selatan,46419,30889,38438,102956,35058,68061,854957,522166,683924
Sulawesi Tenggara,41952,28530,34148,77781,52788,63248,879271,514582,667212
Gorontalo,47375,29721,38022,87783,60118,73126,866919,461858,652319
Sulawesi Barat,36856,22625,25626,101348,42825,55166,810081,450550,526366
Maluku,37288,27745,32096,31397,28863,30018,892178,503647,680789
Maluku Utara,48306,35895,39612,39963,42421,41685,902321,599024,689867
Papua Barat,28859,30207,29773,36193,101751,80652,1057334,862930,925497
Papua Barat Daya,31966,35473,33492,48260,61346,53957,949054,922205,937366
Papua,42408,21998,34809,48782,30150,41844,1173993,650459,979065
Papua Selatan,72872,27638,44517,178358,22818,80858,1460599,554826,892821
Papua Tengah,44740,27787,32823,36976,24700,28346,1167644,556075,737723
Papua Pegunungan,38525,27879,29757,35770,20531,23220,1336720,564502,700746
